사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-03,공항철도 1호선,4202,공덕,69536,96104,8729,10788
2023-03,공항철도 1호선,4203,홍대입구,402194,400956,20549,18734
2023-03,공항철도 1호선,4204,디지털미디어시티,383441,356717,29465,27668
2023-03,공항철도 1호선,4206,마곡나루(서울식물원),276157,267198,17742,18250
2023-03,공항철도 1호선,4207,김포공항,301027,174393,27876,18672
2023-03,공항철도 1호선,4208,계양,346718,320297,36767,34626
2023-03,공항철도 1호선,4209,검암,181361,180738,18407,18645
2023-03,공항철도 1호선,4210,청라국제도시,194715,184596,14503,14503
2023-03,공항철도 1호선,4211,운서,233611,244445,32199,32279
2023-03,공항철도 1호선,4212,공항화물청사,54758,58081,9676,9479
2023-03,공항철도 1호선,4213,인천공항1터미널,356315,316284,32941,30214
2023-03,공항철도 1호선,4215,인천공항2터미널,125592,105306,12689,11290
2023-03,공항철도 1호선,4217,영종,95473,95979,23454,23196
2023-03,9호선2~3단계,4126,언주,284719,291042,31590,31437
2023-03,9호선2~3단계,4127,선정릉,259069,287278,29166,30705
2023-03,9호선2~3단계,4128,삼성중앙,189243,196491,28964,28185
2023-03,9호선2~3단계,4129,봉은사,534657,557914,62027,59648
2023-03,9호선2~3단계,4130,종합운동장,120585,119291,22633,20991
2023-03,9호선2~3단계,4131,삼전,181301,170513,41382,40208
2023-03,9호선2~3단계,4132,석촌고분,164480,158310,41542,41435
2023-03,9호선2~3단계,4133,석촌,242709,218991,41783,36738
2023-03,9호선2~3단계,4134,송파나루,134127,143909,31029,31961
2023-03,9호선2~3단계,4135,한성백제,66781,60123,18014,16209
2023-03,9호선2~3단계,4136,올림픽공원(한국체대),249250,257915,33404,33687
2023-03,9호선2~3단계,4137,둔촌오륜,28881,26988,7353,7861
2023-03,9호선2~3단계,4138,중앙보훈병원,253938,215930,83974,81956
2023-03,우이신설선,4701,북한산우이,65814,58614,38757,41044
2023-03,우이신설선,4702,솔밭공원,50642,43460,31986,33290
2023-03,우이신설선,4703,4.19민주묘지,84931,85036,40943,36347
2023-03,우이신설선,4704,가오리,79496,74858,54522,55226
2023-03,우이신설선,4705,화계,63813,56954,47200,47629
2023-03,우이신설선,4706,삼양,33630,33641,29189,32086
2023-03,우이신설선,4707,삼양사거리,39586,38634,39500,39635
2023-03,우이신설선,4708,솔샘,139305,126520,42968,44824
2023-03,우이신설선,4709,북한산보국문,161277,148226,49187,48909
2023-03,우이신설선,4710,정릉,101213,89633,51441,48979
2023-03,우이신설선,4711,성신여대입구(돈암),80171,95548,32391,31443
2023-03,우이신설선,4712,보문,33495,33992,16695,16349
2023-03,우이신설선,4713,신설동,38069,38527,32816,28780
2023-03,신림선,4401,샛강,64347,80015,14582,14445
2023-03,신림선,4402,대방,67762,50106,17451,14857
2023-03,신림선,4403,서울지방병무청,64516,67908,23401,25764
2023-03,신림선,4404,보라매,86855,79459,23300,20370
2023-03,신림선,4405,보라매공원,44670,48611,16414,17765
2023-03,신림선,4406,보라매병원,143949,152463,49031,48424
2023-03,신림선,4407,당곡,95648,93488,36834,36365
2023-03,신림선,4408,신림,35761,54139,15762,18859
2023-03,신림선,4409,서원,79441,63911,23235,23014
2023-03,신림선,4410,서울대벤처타운,211830,190648,64100,64005
2023-03,신림선,4411,관악산(서울대),66794,71624,37582,38637
